module,object,base_oid,syntax,mib_max_access,release_access,instance_index,value_source,formal_projection,reference
IF-MIB,ifInUcastPkts,1.3.6.1.2.1.2.2.1.11,Counter32,read-only,read-only,ifIndex,Low 32 bits of admitted simulated ingress unicast frames,outside-core,RFC2863
IF-MIB,ifInDiscards,1.3.6.1.2.1.2.2.1.13,Counter32,read-only,read-only,ifIndex,Simulated ingress admission drops,outside-core,RFC2863
IF-MIB,ifInErrors,1.3.6.1.2.1.2.2.1.14,Counter32,read-only,read-only,ifIndex,Zero: no physical error generator in first release,outside-core,RFC2863
IF-MIB,ifOutOctets,1.3.6.1.2.1.2.2.1.16,Counter32,read-only,read-only,ifIndex,Zero: no output traffic simulation,outside-core,RFC2863
IF-MIB,ifOutUcastPkts,1.3.6.1.2.1.2.2.1.17,Counter32,read-only,read-only,ifIndex,Zero: no output traffic simulation,outside-core,RFC2863
IF-MIB,ifOutDiscards,1.3.6.1.2.1.2.2.1.19,Counter32,read-only,read-only,ifIndex,Zero: no output traffic simulation,outside-core,RFC2863
IF-MIB,ifOutErrors,1.3.6.1.2.1.2.2.1.20,Counter32,read-only,read-only,ifIndex,Zero: no output traffic simulation,outside-core,RFC2863
IF-MIB,ifName,1.3.6.1.2.1.31.1.1.1.1,DisplayString,read-only,read-only,ifIndex,Stable interface name,outside-core,RFC2863
IF-MIB,ifHCInOctets,1.3.6.1.2.1.31.1.1.1.6,Counter64,read-only,read-only,ifIndex,Simulated ingress octets,outside-core,RFC2863
IF-MIB,ifHCInUcastPkts,1.3.6.1.2.1.31.1.1.1.7,Counter64,read-only,read-only,ifIndex,Admitted simulated ingress unicast frames,outside-core,RFC2863
IF-MIB,ifHCOutOctets,1.3.6.1.2.1.31.1.1.1.10,Counter64,read-only,read-only,ifIndex,Zero: no output traffic simulation,outside-core,RFC2863
IF-MIB,ifHCOutUcastPkts,1.3.6.1.2.1.31.1.1.1.11,Counter64,read-only,read-only,ifIndex,Zero: no output traffic simulation,outside-core,RFC2863
IF-MIB,ifLinkUpDownTrapEnable,1.3.6.1.2.1.31.1.1.1.14,INTEGER,read-write,read-only,ifIndex,"enabled(1) or disabled(2), configured through API",outside-core,RFC2863
IF-MIB,ifHighSpeed,1.3.6.1.2.1.31.1.1.1.15,Gauge32,read-only,read-only,ifIndex,Operational speed in millions of bits/second; zero when down,outside-core,RFC2863
IF-MIB,ifConnectorPresent,1.3.6.1.2.1.31.1.1.1.17,TruthValue,read-only,read-only,ifIndex,true(1): simulated physical port,outside-core,RFC2863
IF-MIB,ifAlias,1.3.6.1.2.1.31.1.1.1.18,DisplayString (0..64 octets),read-write,read-only,ifIndex,Saved interface alias,outside-core,RFC2863
IF-MIB,ifCounterDiscontinuityTime,1.3.6.1.2.1.31.1.1.1.19,TimeStamp,read-only,read-only,ifIndex,Management uptime at latest counter reset; zero at boot,outside-core,RFC2863
BRIDGE-MIB,dot1dBaseBridgeAddress,1.3.6.1.2.1.17.1.1,MacAddress,read-only,read-only,0,Configured bridge base MAC,outside-core,RFC4188
BRIDGE-MIB,dot1dBaseNumPorts,1.3.6.1.2.1.17.1.2,Integer32,read-only,read-only,0,Configured bridge-port count,outside-core,RFC4188
BRIDGE-MIB,dot1dBaseType,1.3.6.1.2.1.17.1.3,INTEGER,read-only,read-only,0,transparent-only(2),outside-core,RFC4188
BRIDGE-MIB,dot1dTpLearnedEntryDiscards,1.3.6.1.2.1.17.4.1,Counter32,read-only,read-only,0,Learning-capacity rejection events since boot,outside-core,RFC4188
BRIDGE-MIB,dot1dTpAgingTime,1.3.6.1.2.1.17.4.2,Integer32 (10..1000000),read-write,read-only,0,Configured age in simulated seconds,AgingTicks abstraction,RFC4188
BRIDGE-MIB,dot1dBasePort,1.3.6.1.2.1.17.1.4.1.1,Integer32 (1..65535),read-only,read-only,bridgePort,Stable bridge-port number,Dot1dBasePortTable,RFC4188
BRIDGE-MIB,dot1dBasePortIfIndex,1.3.6.1.2.1.17.1.4.1.2,InterfaceIndex,read-only,read-only,bridgePort,Explicit bridge-port to ifIndex mapping,Dot1dBasePortTable,RFC4188
BRIDGE-MIB,dot1dTpFdbAddress,1.3.6.1.2.1.17.4.3.1.1,MacAddress,read-only,read-only,"mac[6] (fixed-length, no length prefix)",Learned MAC in selected legacy VLAN/FDB,Dot1dTpFdbTable,RFC4188
BRIDGE-MIB,dot1dTpFdbPort,1.3.6.1.2.1.17.4.3.1.2,Integer32 (0..65535),read-only,read-only,"mac[6] (fixed-length, no length prefix)",Learned bridge port; live rows never zero in this release,Dot1dTpFdbTable,RFC4188
BRIDGE-MIB,dot1dTpFdbStatus,1.3.6.1.2.1.17.4.3.1.3,INTEGER,read-only,read-only,"mac[6] (fixed-length, no length prefix)",learned(3),Dot1dTpFdbTable,RFC4188
Q-BRIDGE-MIB,dot1qVlanVersionNumber,1.3.6.1.2.1.17.7.1.1.1,INTEGER,read-only,read-only,0,version1(1),outside-core,RFC4363
Q-BRIDGE-MIB,dot1qMaxVlanId,1.3.6.1.2.1.17.7.1.1.2,VlanId (Integer32 1..4094),read-only,read-only,0,4094,outside-core,RFC4363
Q-BRIDGE-MIB,dot1qMaxSupportedVlans,1.3.6.1.2.1.17.7.1.1.3,Unsigned32,read-only,read-only,0,4094,outside-core,RFC4363
Q-BRIDGE-MIB,dot1qNumVlans,1.3.6.1.2.1.17.7.1.1.4,Unsigned32,read-only,read-only,0,Current configured VLAN inventory count,s.vlans,RFC4363
Q-BRIDGE-MIB,dot1qGvrpStatus,1.3.6.1.2.1.17.7.1.1.5,EnabledStatus,read-write,read-only,0,disabled(2): no dynamic registration,outside-core,RFC4363
Q-BRIDGE-MIB,dot1qVlanNumDeletes,1.3.6.1.2.1.17.7.1.4.1,Counter32,read-only,read-only,0,Number of successful VLAN deletions since management boot,outside-core,RFC4363
Q-BRIDGE-MIB,dot1qFdbId,1.3.6.1.2.1.17.7.1.2.1.1.1,Unsigned32 (1..4294967295),not-accessible,not-readable-index,fdbId,FDB index only,Dot1qFdbTable,RFC4363
Q-BRIDGE-MIB,dot1qFdbDynamicCount,1.3.6.1.2.1.17.7.1.2.1.1.2,Counter32,read-only,read-only,fdbId,Number of live dynamic entries in the FDB,Dot1qFdbTable,RFC4363
Q-BRIDGE-MIB,dot1qTpFdbAddress,1.3.6.1.2.1.17.7.1.2.2.1.1,MacAddress,not-accessible,not-readable-index,"fdbId.mac[6] (fixed-length, no length prefix)",MAC part of index only,Dot1qTpFdbTable,RFC4363
Q-BRIDGE-MIB,dot1qTpFdbPort,1.3.6.1.2.1.17.7.1.2.2.1.2,Integer32 (0..65535),read-only,read-only,"fdbId.mac[6] (fixed-length, no length prefix)",Learned bridge port; live rows never zero in this release,Dot1qTpFdbTable,RFC4363
Q-BRIDGE-MIB,dot1qTpFdbStatus,1.3.6.1.2.1.17.7.1.2.2.1.3,INTEGER,read-only,read-only,"fdbId.mac[6] (fixed-length, no length prefix)",learned(3),Dot1qTpFdbTable,RFC4363
Q-BRIDGE-MIB,dot1qVlanTimeMark,1.3.6.1.2.1.17.7.1.4.2.1.1,TimeFilter,not-accessible,not-readable-index,timeFilter.vid,Query filter index only; not the last-change timestamp,Dot1qVlanCurrentTable; filter/timestamps outside-core,RFC4363
Q-BRIDGE-MIB,dot1qVlanIndex,1.3.6.1.2.1.17.7.1.4.2.1.2,VlanIndex,not-accessible,not-readable-index,timeFilter.vid,VID part of index only,Dot1qVlanCurrentTable; filter/timestamps outside-core,RFC4363
Q-BRIDGE-MIB,dot1qVlanFdbId,1.3.6.1.2.1.17.7.1.4.2.1.3,Unsigned32,read-only,read-only,timeFilter.vid,Stable distinct VLAN-to-FDB mapping,Dot1qVlanCurrentTable; filter/timestamps outside-core,RFC4363
Q-BRIDGE-MIB,dot1qVlanCurrentEgressPorts,1.3.6.1.2.1.17.7.1.4.2.1.4,PortList,read-only,read-only,timeFilter.vid,Configured membership plus current authorized client VLAN membership; saved membership remains independent,Dot1qVlanCurrentTable; filter/timestamps outside-core,RFC4363
Q-BRIDGE-MIB,dot1qVlanCurrentUntaggedPorts,1.3.6.1.2.1.17.7.1.4.2.1.5,PortList,read-only,read-only,timeFilter.vid,Independent configured untagged memberships; not derived from PVID,Dot1qVlanCurrentTable; filter/timestamps outside-core,RFC4363
Q-BRIDGE-MIB,dot1qVlanStatus,1.3.6.1.2.1.17.7.1.4.2.1.6,INTEGER,read-only,read-only,timeFilter.vid,permanent(2),Dot1qVlanCurrentTable; filter/timestamps outside-core,RFC4363
Q-BRIDGE-MIB,dot1qVlanCreationTime,1.3.6.1.2.1.17.7.1.4.2.1.7,TimeTicks,read-only,read-only,timeFilter.vid,Creation in management uptime epoch,Dot1qVlanCurrentTable; filter/timestamps outside-core,RFC4363
Q-BRIDGE-MIB,dot1qVlanStaticName,1.3.6.1.2.1.17.7.1.4.3.1.1,SnmpAdminString (0..32 octets),read-create,read-create,vid,Saved VLAN name,Dot1qVlanStaticTable; SetTransactions,RFC4363
Q-BRIDGE-MIB,dot1qVlanStaticEgressPorts,1.3.6.1.2.1.17.7.1.4.3.1.2,PortList,read-create,read-create,vid,Configured memberships,Dot1qVlanStaticTable; SetTransactions,RFC4363
Q-BRIDGE-MIB,dot1qVlanForbiddenEgressPorts,1.3.6.1.2.1.17.7.1.4.3.1.3,PortList,read-create,read-create,vid,Independent configured forbidden memberships; disjoint from admitted,Dot1qVlanStaticTable; SetTransactions,RFC4363
Q-BRIDGE-MIB,dot1qVlanStaticUntaggedPorts,1.3.6.1.2.1.17.7.1.4.3.1.4,PortList,read-create,read-create,vid,Independent configured untagged memberships; not derived from PVID,Dot1qVlanStaticTable; SetTransactions,RFC4363
Q-BRIDGE-MIB,dot1qVlanStaticRowStatus,1.3.6.1.2.1.17.7.1.4.3.1.5,RowStatus,read-create,read-create,vid,GET active(1); SET active(1)/createAndGo(4)/destroy(6); permanent VLAN1,Dot1qVlanStaticTable; SetTransactions,RFC4363
Q-BRIDGE-MIB,dot1qPvid,1.3.6.1.2.1.17.7.1.4.5.1.1,VlanIndex,read-write,read-write,bridgePort,Ingress VLAN classification; raw SET preserves untagged egress memberships,Dot1qPvid; SetTransactions,RFC4363
Q-BRIDGE-MIB,dot1qPortAcceptableFrameTypes,1.3.6.1.2.1.17.7.1.4.5.1.2,INTEGER,read-write,read-only,bridgePort,admitAll(1); source supports untagged and one explicit VID,outside-core,RFC4363
Q-BRIDGE-MIB,dot1qPortIngressFiltering,1.3.6.1.2.1.17.7.1.4.5.1.3,TruthValue,read-write,read-only,bridgePort,true(1): unadmitted VLAN activity is rejected,Eligible/Admitted,RFC4363
Q-BRIDGE-MIB,dot1qPortGvrpStatus,1.3.6.1.2.1.17.7.1.4.5.1.4,EnabledStatus,read-write,read-only,bridgePort,disabled(2): no dynamic registration,outside-core,RFC4363
ENTITY-MIB,entPhysicalIndex,1.3.6.1.2.1.47.1.1.1.1.1,PhysicalIndex (Integer32 1..2147483647),not-accessible,not-readable-index,physicalIndex,Index only; chassis1 and bridgePort+1,EntPhysicalTable; EntityInventory,RFC6933
ENTITY-MIB,entPhysicalDescr,1.3.6.1.2.1.47.1.1.1.1.2,SnmpAdminString (0..255 octets),read-only,read-only,physicalIndex,Saved switch description; Emulated Ethernet port for ports; UTF-8,EntPhysicalTable; EntityInventory,RFC6933
ENTITY-MIB,entPhysicalVendorType,1.3.6.1.2.1.47.1.1.1.1.3,AutonomousType (OBJECT IDENTIFIER),read-only,read-only,physicalIndex,0.0: unknown registration,EntPhysicalTable; EntityInventory,RFC6933
ENTITY-MIB,entPhysicalContainedIn,1.3.6.1.2.1.47.1.1.1.1.4,PhysicalIndexOrZero (Integer32),read-only,read-only,physicalIndex,Chassis0; ports1,EntPhysicalTable; EntityInventory,RFC6933
ENTITY-MIB,entPhysicalClass,1.3.6.1.2.1.47.1.1.1.1.5,IANAPhysicalClass (INTEGER),read-only,read-only,physicalIndex,chassis(3) or port(10),EntPhysicalTable; EntityInventory,RFC6933
ENTITY-MIB,entPhysicalParentRelPos,1.3.6.1.2.1.47.1.1.1.1.6,Integer32 (-1..2147483647),read-only,read-only,physicalIndex,Chassis-1; saved bridgePort for ports,EntPhysicalTable; EntityInventory,RFC6933
ENTITY-MIB,entPhysicalName,1.3.6.1.2.1.47.1.1.1.1.7,SnmpAdminString (0..255 octets),read-only,read-only,physicalIndex,Saved switch or port name; UTF-8,EntPhysicalTable; EntityInventory,RFC6933
ENTITY-MIB,entPhysicalHardwareRev,1.3.6.1.2.1.47.1.1.1.1.8,SnmpAdminString (0..255 octets),read-only,read-only,physicalIndex,Empty: unknown hardware revision,EntPhysicalTable; EntityInventory,RFC6933
ENTITY-MIB,entPhysicalFirmwareRev,1.3.6.1.2.1.47.1.1.1.1.9,SnmpAdminString (0..255 octets),read-only,read-only,physicalIndex,Empty: unknown firmware revision,EntPhysicalTable; EntityInventory,RFC6933
ENTITY-MIB,entPhysicalSoftwareRev,1.3.6.1.2.1.47.1.1.1.1.10,SnmpAdminString (0..255 octets),read-only,read-only,physicalIndex,Empty: unknown inventory software revision,EntPhysicalTable; EntityInventory,RFC6933
ENTITY-MIB,entPhysicalSerialNum,1.3.6.1.2.1.47.1.1.1.1.11,SnmpAdminString (0..32 octets),read-write,read-only,physicalIndex,Empty: no serial inventory,EntPhysicalTable; EntityInventory,RFC6933
ENTITY-MIB,entPhysicalMfgName,1.3.6.1.2.1.47.1.1.1.1.12,SnmpAdminString (0..255 octets),read-only,read-only,physicalIndex,Empty: unknown manufacturer,EntPhysicalTable; EntityInventory,RFC6933
ENTITY-MIB,entPhysicalModelName,1.3.6.1.2.1.47.1.1.1.1.13,SnmpAdminString (0..255 octets),read-only,read-only,physicalIndex,Empty: unknown model,EntPhysicalTable; EntityInventory,RFC6933
ENTITY-MIB,entPhysicalAlias,1.3.6.1.2.1.47.1.1.1.1.14,SnmpAdminString (0..32 octets),read-write,read-only,physicalIndex,Empty; independent of the saved 64-octet ifAlias,EntPhysicalTable; EntityInventory,RFC6933
ENTITY-MIB,entPhysicalAssetID,1.3.6.1.2.1.47.1.1.1.1.15,SnmpAdminString (0..32 octets),read-write,read-only,physicalIndex,Empty: no physical asset setting,EntPhysicalTable; EntityInventory,RFC6933
ENTITY-MIB,entPhysicalIsFRU,1.3.6.1.2.1.47.1.1.1.1.16,TruthValue (INTEGER),read-only,read-only,physicalIndex,false(2): no emulated replacement mechanism,EntPhysicalTable; EntityInventory,RFC6933
ENTITY-MIB,entPhysicalMfgDate,1.3.6.1.2.1.47.1.1.1.1.17,DateAndTime (8 or 11 octets),read-only,read-only,physicalIndex,Eight binary zero octets: unknown,EntPhysicalTable; EntityInventory,RFC6933
ENTITY-MIB,entPhysicalUris,1.3.6.1.2.1.47.1.1.1.1.18,OCTET STRING (URI list),read-write,read-only,physicalIndex,urn:uuid from persisted entity UUID; empty for non-UUID IDs,EntPhysicalTable; EntityInventory,RFC6933
ENTITY-MIB,entPhysicalUUID,1.3.6.1.2.1.47.1.1.1.1.19,UUIDorZero (0 or 16 octets),read-only,read-only,physicalIndex,Persisted UUID in 16-byte network order; empty for non-UUID IDs,EntPhysicalTable; EntityInventory,RFC6933
ENTITY-MIB,entAliasLogicalIndexOrZero,1.3.6.1.2.1.47.1.3.2.1.1,Integer32 (0..2147483647),not-accessible,not-readable-index,physicalIndex.logicalIndex,Index only; wildcard logicalIndex0,EntAliasMappingTable,RFC6933
ENTITY-MIB,entAliasMappingIdentifier,1.3.6.1.2.1.47.1.3.2.1.2,RowPointer (OBJECT IDENTIFIER),read-only,read-only,physicalIndex.0,Port pointer to ifIndex instance; filtering applies to pointer OID without dereference privilege,EntAliasMappingTable; EntityInventory,RFC6933
ENTITY-MIB,entPhysicalChildIndex,1.3.6.1.2.1.47.1.3.3.1.1,PhysicalIndex (Integer32),read-only,read-only,1.physicalPortIndex,Direct chassis-to-port edges; child index is readable,EntPhysicalContainsTable,RFC6933
ENTITY-MIB,entLastChangeTime,1.3.6.1.2.1.47.1.4.1,TimeStamp (TimeTicks),read-only,read-only,0,Actual projected-row change time; zero on management reboot; retained across uptime wrap and irrelevant/no-op/rejected changes,EntityInventory,RFC6933
IEEE8021-PAE-MIB,dot1xPaeSystemAuthControl,1.0.8802.1.1.1.1.1.1,INTEGER (1..2),read-write,read-only,0,enabled(1); no new global bypass owner,RadiusAuthorization; concrete PAE mapping,IEEE8021-PAE-MIB 200406220000Z
IEEE8021-PAE-MIB,dot1xPaePortProtocolVersion,1.0.8802.1.1.1.1.1.2.1.2,Unsigned32,read-only,read-only,ifIndex,Actual observed EAPOL version; absent before an event,RadiusAuthorization; concrete PAE mapping,IEEE8021-PAE-MIB 200406220000Z
IEEE8021-PAE-MIB,dot1xPaePortCapabilities,1.0.8802.1.1.1.1.1.2.1.3,BITS,read-only,read-only,ifIndex,Authenticator bit only:80 hex,RadiusAuthorization; concrete PAE mapping,IEEE8021-PAE-MIB 200406220000Z
IEEE8021-PAE-MIB,dot1xPaePortInitialize,1.0.8802.1.1.1.1.1.2.1.4,TruthValue,read-write,read-write,ifIndex,True requests one completed port initialization; GET false; counters not reset,RadiusAuthorization; concrete PAE mapping,IEEE8021-PAE-MIB 200406220000Z
IEEE8021-PAE-MIB,dot1xPaePortReauthenticate,1.0.8802.1.1.1.1.1.2.1.5,TruthValue,read-write,read-write,ifIndex,True requests port-wide renewal; GET false; valid access retained while pending,RadiusAuthorization; concrete PAE mapping,IEEE8021-PAE-MIB 200406220000Z
IEEE8021-PAE-MIB,dot1xAuthPaeState,1.0.8802.1.1.1.1.2.1.1.1,INTEGER (1..10),read-only,read-only,ifIndex,Represented authenticator state from actual events; auto/multi-auth and unmapped local outcomes omitted,RadiusAuthorization; concrete PAE mapping,IEEE8021-PAE-MIB 200406220000Z
IEEE8021-PAE-MIB,dot1xAuthBackendAuthState,1.0.8802.1.1.1.1.2.1.1.2,INTEGER (1..8),read-only,read-only,ifIndex,"Represented backend state, not server reachability; ambiguous/unmapped instances omitted",RadiusAuthorization; concrete PAE mapping,IEEE8021-PAE-MIB 200406220000Z
IEEE8021-PAE-MIB,dot1xAuthAdminControlledDirections,1.0.8802.1.1.1.1.2.1.1.3,INTEGER (0..1),read-write,read-only,ifIndex,in(1); no egress enforcement,RadiusAuthorization; concrete PAE mapping,IEEE8021-PAE-MIB 200406220000Z
IEEE8021-PAE-MIB,dot1xAuthOperControlledDirections,1.0.8802.1.1.1.1.2.1.1.4,INTEGER (0..1),read-only,read-only,ifIndex,in(1),RadiusAuthorization; concrete PAE mapping,IEEE8021-PAE-MIB 200406220000Z
IEEE8021-PAE-MIB,dot1xAuthAuthControlledPortStatus,1.0.8802.1.1.1.1.2.1.1.5,INTEGER (1..2),read-only,read-only,ifIndex,"Actual effective service authorization, independent of carrier; auto/multi-auth omitted",RadiusAuthorization; concrete PAE mapping,IEEE8021-PAE-MIB 200406220000Z
IEEE8021-PAE-MIB,dot1xAuthAuthControlledPortControl,1.0.8802.1.1.1.1.2.1.1.6,INTEGER (1..3),read-write,read-write,ifIndex,forceUnauthorized1/auto2/forceAuthorized3 in the final candidate,RadiusAuthorization; concrete PAE mapping,IEEE8021-PAE-MIB 200406220000Z
IEEE8021-PAE-MIB,dot1xAuthReAuthPeriod,1.0.8802.1.1.1.1.2.1.1.12,Unsigned32,read-write,read-only,ifIndex,"Effective timer constant, server override versus local; not remaining time; auto/multi-auth omitted",RadiusAuthorization; concrete PAE mapping,IEEE8021-PAE-MIB 200406220000Z
IEEE8021-PAE-MIB,dot1xAuthReAuthEnabled,1.0.8802.1.1.1.1.2.1.1.13,TruthValue,read-write,read-only,ifIndex,Actual effective reauthentication enablement; server zero period can be enabled,RadiusAuthorization; concrete PAE mapping,IEEE8021-PAE-MIB 200406220000Z
IEEE8021-PAE-MIB,dot1xAuthKeyTxEnabled,1.0.8802.1.1.1.1.2.1.1.14,TruthValue,read-write,read-only,ifIndex,false(2); no EAPOL-Key/MACsec transmission,RadiusAuthorization; concrete PAE mapping,IEEE8021-PAE-MIB 200406220000Z
IEEE8021-PAE-MIB,dot1xAuthEapolFramesRx,1.0.8802.1.1.1.1.2.2.1.1,Counter32,read-only,read-only,ifIndex,Actual internal peer-to-NAS EAPOL frames; aggregate omitted after incomplete observation until management boot,outside-core,IEEE8021-PAE-MIB 200406220000Z
IEEE8021-PAE-MIB,dot1xAuthEapolFramesTx,1.0.8802.1.1.1.1.2.2.1.2,Counter32,read-only,read-only,ifIndex,Actual internal NAS-to-peer EAPOL frames; aggregate omitted after incomplete observation until management boot,outside-core,IEEE8021-PAE-MIB 200406220000Z
IEEE8021-PAE-MIB,dot1xAuthEapolStartFramesRx,1.0.8802.1.1.1.1.2.2.1.3,Counter32,read-only,read-only,ifIndex,Actual EAPOL-Start receive events; aggregate omitted after incomplete observation until management boot,outside-core,IEEE8021-PAE-MIB 200406220000Z
IEEE8021-PAE-MIB,dot1xAuthEapolLogoffFramesRx,1.0.8802.1.1.1.1.2.2.1.4,Counter32,read-only,read-only,ifIndex,Actual EAPOL-Logoff receive events; traffic-off is not Logoff; aggregate omitted after incomplete observation until management boot,outside-core,IEEE8021-PAE-MIB 200406220000Z
IEEE8021-PAE-MIB,dot1xAuthEapolRespIdFramesRx,1.0.8802.1.1.1.1.2.2.1.5,Counter32,read-only,read-only,ifIndex,Actual EAP-Response/Identity receive events; aggregate omitted after incomplete observation until management boot,outside-core,IEEE8021-PAE-MIB 200406220000Z
IEEE8021-PAE-MIB,dot1xAuthEapolRespFramesRx,1.0.8802.1.1.1.1.2.2.1.6,Counter32,read-only,read-only,ifIndex,Actual other EAP-Response receive events; aggregate omitted after incomplete observation until management boot,outside-core,IEEE8021-PAE-MIB 200406220000Z
IEEE8021-PAE-MIB,dot1xAuthEapolReqIdFramesTx,1.0.8802.1.1.1.1.2.2.1.7,Counter32,read-only,read-only,ifIndex,Actual EAP-Request/Identity transmit events; aggregate omitted after incomplete observation until management boot,outside-core,IEEE8021-PAE-MIB 200406220000Z
IEEE8021-PAE-MIB,dot1xAuthEapolReqFramesTx,1.0.8802.1.1.1.1.2.2.1.8,Counter32,read-only,read-only,ifIndex,Actual other EAP-Request transmit events; aggregate omitted after incomplete observation until management boot,outside-core,IEEE8021-PAE-MIB 200406220000Z
IEEE8021-PAE-MIB,dot1xAuthLastEapolFrameVersion,1.0.8802.1.1.1.1.2.2.1.11,Unsigned32,read-only,read-only,ifIndex,Last actual received frame version; absent before receive or after observation loss,outside-core,IEEE8021-PAE-MIB 200406220000Z
IEEE8021-PAE-MIB,dot1xAuthLastEapolFrameSource,1.0.8802.1.1.1.1.2.2.1.12,MacAddress (6 octets),read-only,read-only,ifIndex,Last actual received frame source; absent before receive or after observation loss,outside-core,IEEE8021-PAE-MIB 200406220000Z
IEEE8021-PAE-MIB,dot1xAuthEntersAuthenticating,1.0.8802.1.1.1.1.2.3.1.3,Counter32 (deprecated),read-only,read-only,ifIndex,CONNECTING to AUTHENTICATING on actual EAP-Response/Identity; not inferred from peer exit; omitted after observation loss,outside-core,IEEE8021-PAE-MIB 200406220000Z
IEEE8021-PAE-MIB,dot1xAuthAuthSuccessWhileAuthenticating,1.0.8802.1.1.1.1.2.3.1.4,Counter32 (deprecated),read-only,read-only,ifIndex,AUTHENTICATING to AUTHENTICATED on backend success; not inferred from peer exit; omitted after observation loss,outside-core,IEEE8021-PAE-MIB 200406220000Z
IEEE8021-PAE-MIB,dot1xAuthAuthTimeoutsWhileAuthenticating,1.0.8802.1.1.1.1.2.3.1.5,Counter32 (deprecated),read-only,read-only,ifIndex,AUTHENTICATING to ABORTING on exhausted backend response; not inferred from peer exit; omitted after observation loss,outside-core,IEEE8021-PAE-MIB 200406220000Z
IEEE8021-PAE-MIB,dot1xAuthAuthFailWhileAuthenticating,1.0.8802.1.1.1.1.2.3.1.6,Counter32 (deprecated),read-only,read-only,ifIndex,AUTHENTICATING to HELD on actual NAS Reject; not inferred from peer exit; omitted after observation loss,outside-core,IEEE8021-PAE-MIB 200406220000Z
IEEE8021-PAE-MIB,dot1xAuthSessionOctetsRx,1.0.8802.1.1.1.1.2.4.1.1,Counter64,read-only,read-only,ifIndex,Current or last valid service admitted ingress octets; before any session and auto/multi-auth omitted,outside-core,IEEE8021-PAE-MIB 200406220000Z
IEEE8021-PAE-MIB,dot1xAuthSessionFramesRx,1.0.8802.1.1.1.1.2.4.1.3,Counter32,read-only,read-only,ifIndex,Current or last valid service admitted ingress frames; before any session and auto/multi-auth omitted,outside-core,IEEE8021-PAE-MIB 200406220000Z
IEEE8021-PAE-MIB,dot1xAuthSessionId,1.0.8802.1.1.1.1.2.4.1.5,"SnmpAdminString (printable ASCII, at least3 octets)",read-only,read-only,ifIndex,Actual current or last valid session ID; before any session and auto/multi-auth omitted,outside-core,IEEE8021-PAE-MIB 200406220000Z
